Candidate,Stage,R2 (log),RMSE (log),MAE (log),R2 ($),RMSE ($),MAE ($),MedianAE ($),MAPE (%),Aggregate bias (%)
Baseline GB (Notebook 3),Test set,0.8961786604630073,0.2813924060288358,0.20301103648930302,0.8428708683429694,1266265.1884267759,769676.528618859,448701.089622837,21.282821846992967,-4.110615493707536
Tuned GB (log + smearing),Test set,0.9022304463206208,0.2730680413289106,0.19718469298583324,0.851461703015227,1231162.9357634895,753165.4835779198,436661.80440634734,21.014661144347492,-1.0525758502659244
